leto,kategorija,stevilo tekmovalcev,1. mesto,2. mesto,zadnje mesto,povprecje
2016,1,22,328,311,12,149.55
2016,2,19,380,333,31,156.68
2016,3,31,330,325,4,115.71
2016,4,18,360,360,58,172.67
2016,5,20,400,313,28,160.5
2016,6,21,335,307,44,159.81
2016,7,12,400,310,37,191.67
2016,8,11,345,315,150,216.18
2016,9,8,260,231,65,161.75
2016,10,9,280,247,43,153.89
2016,11,20,300,240,31,111.65
2016,12,26,300,240,15,99.96
2015,1,23,390,294,37,144.22
2015,2,15,380,325,24,185.87
2015,3,35,333,320,1,105.28
2015,4,26,370,307,18,135.42
2015,5,21,335,330,16,148.43
2015,6,18,400,305,31,164.67
2015,7,13,400,340,33,181.31
2015,8,8,333,325,167,216.25
2015,9,7,300,225,47,171.14
2015,10,17,300,210,37,128.35
2015,11,18,280,280,33,115.11
2015,12,36,293,260,2,77.44
2014,1,37,380,273,0,105.68
2014,2,24,380,380,12,151.25
2014,3,28,400,306,6,131.89
2014,4,22,400,340,52,160.64
2014,5,24,400,292,18,145.63
2014,6,12,380,290,31,201.83
2014,7,15,360,345,31,170.13
2014,8,19,380,305,40,159.74
2014,9,10,260,255,47,155.10
2014,10,15,280,227,53,144.73
2014,11,18,300,211,34,120.78
2014,12,39,280,220,5,75.18
2013,1,32,345,328,6,134.16
2013,2,27,342,323,10,140.30
2013,3,35,340,313,4,111.86
2013,4,19,380,380,25,173.89
2013,5,28,380,360,6,123.96
2013,6,20,355,315,18,157.68
2013,7,22,400,295,18,152.95
2013,8,26,400,340,12,131.19
2013,9,7,280,245,47,172.86
2013,10,7,300,240,51,184.00
2013,11,21,300,207,20,105.76
2013,12,38,300,245,1,79.05
2012,1,34,352,345,6,113.94
2012,2,24,400,291,22,148.58
2012,3,42,400,340,0,94.31
2012,4,20,400,320,44,160.00
2012,5,27,400,305,9,133.74
2012,6,28,400,340,18,129.96
2012,7,19,367,345,20,160.42
2012,8,24,353,277,30,147.49
2012,9,6,280,280,47,189.50
2012,10,11,280,253,36,156.91
2012,11,19,300,260,26,113.95
2012,12,37,265,225,1,77.30
2011,1,33,480,425,15,157.33
2011,2,35,460,410,8,150.46
2011,3,33,500,366,14,155.79
2011,4,21,500,400,20,213.95
2011,5,26,380,315,17,156.65
2011,6,35,360,285,5,110.29
2011,7,14,380,325,24,190.71
2011,8,18,345,320,26,173.78
2011,9,8,400,295,47,227.38
2011,10,14,330,325,37,174.64
2011,11,21,400,315,16,150.19
2011,12,34,296,277,10,108.56
2010,1,26,400,296,9,138.86
2010,2,28,335,335,12,138.57
2010,3,21,298,292,40,167.43
2010,4,28,380,323,7,142.71
2010,5,27,300,260,25,103.56
2010,6,40,300,260,1,75.80
2010,7,16,300,260,43,136.31
