leto,mesto,klub,tocke
2016,1,1,5370
2016,2,2,4979
2016,3,3,4730
2016,4,4,4026
2016,5,5,3745
2016,6,6,3522
2016,7,7,3345
2016,8,8,2938
2016,9,9,2734
2016,10,10,2595
2016,11,11,2306
2016,12,12,1857
2016,13,13,1705
2016,14,14,1651
2016,15,15,1596
2016,16,16,1207
2016,17,17,1200
2016,18,18,1034
2016,19,19,829
2016,20,20,691
2016,21,21,662
2016,22,22,561
2016,23,23,531
2016,24,24,460
2016,25,25,428
2016,26,26,358
2016,27,27,355
2016,28,28,313
2016,29,29,312
2016,30,30,293
2016,31,31,264
2016,32,32,182
2015,1,2,5181
2015,2,3,4966
2015,3,1,4851
2015,4,4,4322
2015,5,8,4037
2015,6,5,3761
2015,7,11,3034
2015,8,9,2773
2015,9,7,2551
2015,10,10,2417
2015,11,17,1933
2015,12,18,1699
2015,13,13,1414
2015,14,12,1373
2015,15,15,1358
2015,16,6,1328
2015,17,19,1234
2015,18,16,1091
2015,19,14,785
2015,20,25,612
2015,21,20,543
2015,22,24,527
2015,23,30,523
2015,24,33,506
2015,25,23,432
2015,26,22,329
2015,27,31,288
2015,28,34,269
2015,29,35,243
2015,30,27,168
2015,31,36,148
2015,32,21,124
2015,33,37,54
2015,34,28,45
2014,1,2,6015
2014,2,3,5977
2014,3,36,4948
2014,4,29,3769
2014,5,5,3644
2014,6,1,3098
2014,7,13,2814
2014,8,9,2787
2014,9,11,2611
2014,10,19,2581
2014,11,7,2514
2014,12,18,2200
2014,13,10,2087
2014,14,17,1955
2014,15,12,1710
2014,16,16,1506
2014,17,33,1358
2014,18,6,1331
2014,19,20,1287
2014,20,25,1251
2014,21,15,1234
2014,22,14,989
2014,23,24,877
2014,24,38,578
2014,25,22,560
2014,26,35,487
2014,27,28,458
2014,28,31,401
2014,29,30,281
2014,30,8,205
2014,31,34,137
2014,32,37,119
2014,33,39,34
2014,34,21,33
2014,35,40,12
2013,1,2,5547
2013,2,3,5286
2013,3,36,3869
2013,4,5,3500
2013,5,29,2996
2013,6,1,2968
2013,7,19,2892
2013,8,9,2878
2013,9,25,2831
2013,10,7,2426
2013,11,10,2320
2013,12,17,2069
2013,13,18,1582
2013,14,11,1527
2013,15,20,1360
2013,16,33,1251
2013,17,12,1107
2013,18,13,1012
2013,19,14,966
2013,20,16,800
2013,21,41,692
2013,22,26,500
2013,23,6,476
2013,24,24,462
